region;city;cat;comerc;object;mark;date
Свердловская область;Екатеринбург;Музеи;да;Музей истории Екатеринбурга;3;2020-03
Свердловская область;Екатеринбург;Музеи;да;Музей истории Екатеринбурга;3;2020-03
Свердловская область;Екатеринбург;Музеи;да;Музей истории Екатеринбурга;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Музей истории Екатеринбурга;4;2020-02
Свердловская область;Екатеринбург;Музеи;да;Музей истории Екатеринбурга;5;2020-01
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;5;2020-02
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;5;2020-02
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;5;2020-01
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;1;2020-03
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;4;2020-03
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;5;2020-02
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;5;2020-02
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;4;2020-02
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;5;2020-01
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный комплекс «Уктус»;5;2020-03
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный комплекс «Уктус»;5;2020-02
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный комплекс «Уктус»;5;2020-01
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный комплекс «Уктус»;5;2020-01
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный комплекс «Уктус»;5;2020-01
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный комплекс «Уктус»;5;2020-01
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;3;2020-03
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;3;2020-03
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;5;2020-02
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;5;2020-02
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;2;2020-02
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;3;2020-02
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;4;2020-02
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;3;2020-01
Свердловская область;Ревда;Активный отдых;да;Горнолыжный комплекс «Гора Волчиха»;5;2020-03
Свердловская область;Ревда;Активный отдых;да;Горнолыжный комплекс «Гора Волчиха»;4;2020-03
Свердловская область;Ревда;Активный отдых;да;Горнолыжный комплекс «Гора Волчиха»;5;2020-01
