region;city;cat;comerc;object;mark;date;mark_id
Свердловская область;Екатеринбург;Музеи;да;Музей истории Екатеринбурга;3;2020-04;116150344395615870352
Свердловская область;Екатеринбург;Музеи;да;Музей истории Екатеринбурга;3;2020-04;114955941950224670343
Свердловская область;Екатеринбург;Музеи;да;Музей истории Екатеринбурга;5;2020-04;117222033089163026096
Свердловская область;Екатеринбург;Музеи;да;Музей истории Екатеринбурга;4;2020-03;116550516596685503704
Свердловская область;Екатеринбург;Музеи;да;Музей истории Екатеринбурга;5;2020-02;101330609395239260745
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;5;2020-04;112383005898330672712
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;5;2020-04;108177604728467609356
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;5;2020-04;108615871422579273084
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;5;2020-03;116150344395615870352
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;5;2020-03;101556493050110526402
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;5;2020-03;108273094211235905771
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;5;2020-02;104153201915165336114
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;5;2020-04;107173715597819559967
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;4;2020-04;118242552721955002428
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;1;2020-03;114799764033573022497
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;5;2020-03;102318473019818617517
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;4;2020-03;105001595182016791479
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;5;2020-03;116089434283932923921
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;5;2020-02;102081967223120495699
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;5;2020-02;107623933447824449305
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный комплекс «Уктус»;5;2020-03;116107614738134201886
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный комплекс «Уктус»;5;2020-03;114231767518414039540
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный комплекс «Уктус»;5;2020-02;107575203403650771969
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный комплекс «Уктус»;5;2020-02;108033332048315866901
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный комплекс «Уктус»;5;2020-02;106006422051616385745
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный комплекс «Уктус»;4;2020-02;105194681319680653259
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;5;2020-03;104374601575757523848
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;3;2020-03;104709612889468582561
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;5;2020-03;116972543044811837213
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;2;2020-03;112973246044614970805
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;3;2020-03;101828300607907952521
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;3;2020-02;111832879094617729585
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;3;2020-02;114017216625825824736
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;4;2020-02;106410167082346660193
Свердловская область;Ревда;Активный отдых;да;Горнолыжный комплекс «Гора Волчиха»;5;2020-04;116109948401866172696
Свердловская область;Ревда;Активный отдых;да;Горнолыжный комплекс «Гора Волчиха»;4;2020-04;100614114929785671014
Свердловская область;Ревда;Активный отдых;да;Горнолыжный комплекс «Гора Волчиха»;5;2020-02;103100927229158939386
Свердловская область;Ревда;Активный отдых;да;Горнолыжный комплекс «Гора Волчиха»;4;2020-02;117663780016976020232
Свердловская область;Ревда;Активный отдых;да;Горнолыжный комплекс «Гора Волчиха»;4;2020-02;109240695690220684329
Свердловская область;Ревда;Активный отдых;да;Горнолыжный комплекс «Гора Волчиха»;4;2020-02;116142435652991958952
Свердловская область;Ревда;Активный отдых;да;Горнолыжный комплекс «Гора Волчиха»;4;2020-02;112491704116250188189
Свердловская область;Ревда;Активный отдых;да;Горнолыжный комплекс «Гора Волчиха»;5;2020-02;106324035136525870331
Свердловская область;Бажуково;Природные объекты;да;Парк «Оленьи ручьи»;5;2020-04;111023892679001323267
Свердловская область;Бажуково;Природные объекты;да;Парк «Оленьи ручьи»;5;2020-03;100505596132768845854
Свердловская область;Бажуково;Природные объекты;да;Парк «Оленьи ручьи»;5;2020-03;113628886473822556382
Свердловская область;Бажуково;Природные объекты;да;Парк «Оленьи ручьи»;5;2020-03;106932194121229698739
Свердловская область;Белокаменный;Спа здоровье;да;Санаторий «Белый камень»;5;2020-03;114612511139115764862
Свердловская область;Белокаменный;Спа здоровье;да;Санаторий «Белый камень»;5;2020-02;104045828568005215227
Свердловская область;Камышлов;Спа здоровье;да;Санаторий «Обуховский»;5;2020-03;106000374747073367528
Свердловская область;Камышлов;Спа здоровье;да;Санаторий «Обуховский»;5;2020-02;100437402339315625199
Свердловская область;Екатеринбург;Спа здоровье;да;Баден-Баден термы Уктус;4;2020-04;113817646215910060577
Свердловская область;Екатеринбург;Спа здоровье;да;Баден-Баден термы Уктус;4;2020-04;109196050351406436198
Свердловская область;Екатеринбург;Спа здоровье;да;Баден-Баден термы Уктус;4;2020-04;100291780308648648087
Свердловская область;Екатеринбург;Спа здоровье;да;Баден-Баден термы Уктус;5;2020-03;114268674984367283523
Свердловская область;Екатеринбург;Спа здоровье;да;Баден-Баден термы Уктус;4;2020-03;102068663161767939298
Свердловская область;Екатеринбург;Спа здоровье;да;Баден-Баден термы Уктус;2;2020-03;114409455127746964325
Свердловская область;Екатеринбург;Спа здоровье;да;Баден-Баден термы Уктус;3;2020-03;106836732582610641257
Свердловская область;Шабровский;Природные объекты;нет;Карьер Старая линза;5;2020-04;112284657978540050544
Свердловская область;Шабровский;Природные объекты;нет;Карьер Старая линза;5;2020-02;102903113442183956777
Свердловская область;Екатеринбург;Религия;нет;Ново-Тихвинский женский монастырь;5;2020-03;106635106781589466664
Свердловская область;Екатеринбург;Религия;нет;Ново-Тихвинский женский монастырь;5;2020-02;103480934329709291550
Свердловская область;Екатеринбург;Религия;нет;Ново-Тихвинский женский монастырь;5;2020-02;107258626229097805674
Свердловская область;Екатеринбург;Религия;нет;Ново-Тихвинский женский монастырь;5;2020-02;111204653314170224992
Свердловская область;Свердловская область;Природные объекты;нет;Перевал Дятлова;5;2020-04;110571817811437072245
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-04;107173715597819559967
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-04;106545985380190999695
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-04;106661962847760723232
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-03;118306304367526362209
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-03;102318473019818617517
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-03;109185276549554932905
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-03;118445262679590696031
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-03;117905888515196906951
Свердловская область;Свердловская область;Религия;нет;Ганина Яма;4;2020-04;111361704685613371164
Свердловская область;Свердловская область;Религия;нет;Ганина Яма;5;2020-03;106032780673247193994
Свердловская область;Свердловская область;Религия;нет;Ганина Яма;5;2020-02;103480934329709291550
Свердловская область;Екатеринбург;Религия;нет;Храм на крови;5;2020-03;100813806443077578031
Свердловская область;Екатеринбург;Религия;нет;Храм на крови;4;2020-03;103150359673281146113
Свердловская область;Екатеринбург;Религия;нет;Храм на крови;5;2020-03;102318473019818617517
Свердловская область;Екатеринбург;Религия;нет;Храм на крови;5;2020-03;106294312356478103419
