date;region;city;cat;comerc;object;mark;cnt_marks
2020-05-06;Свердловская область;Екатеринбург;Музеи;да;Музей истории Екатеринбурга;4,5;747
2020-05-06;Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;4,7;1 505
2020-05-06;Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;4,5;15 636
2020-05-06;Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный комплекс «Уктус»;4,5;1 942
2020-05-06;Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;4,4;1 039
2020-05-06;Свердловская область;Ревда;Активный отдых;да;Горнолыжный комплекс «Гора Волчиха»;4,4;698
2020-05-06;Свердловская область;Бажуково;Природные объекты;да;Парк «Оленьи ручьи»;4,8;1 428
2020-05-06;Свердловская область;Белокаменный;Спа здоровье;да;Санаторий «Белый камень»;4,6;86
2020-05-06;Свердловская область;Камышлов;Спа здоровье;да;Санаторий «Обуховский»;4,5;107
2020-05-06;Свердловская область;Екатеринбург;Спа здоровье;да;Баден-Баден термы Уктус;4,7;2 345
2020-05-06;Свердловская область;Шабровский;Природные объекты;нет;Карьер Старая линза;4,6;655
2020-05-06;Свердловская область;Екатеринбург;Религия;нет;Ново-Тихвинский женский монастырь;4,8;403
2020-05-06;Свердловская область;Свердловская область;Природные объекты;нет;Конжаковский Камень;4,7;19
2020-05-06;Свердловская область;Свердловская область;Природные объекты;нет;Перевал Дятлова;4,7;409
2020-05-06;Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;4,9;5 230
2020-05-06;Свердловская область;Свердловская область;Религия;нет;Ганина Яма;4,9;12
2020-05-06;Свердловская область;Екатеринбург;Религия;нет;Храм на крови;4,6;5 194
2020-05-06;Свердловская область;Верхотурье;Религия;нет;Верхотурский Кремль;4,8;117
2020-05-06;Свердловская область;Качканар;Религия;нет;Буддийский монастырь Шедруб Линг;4,8;227
2020-05-06;Свердловская область;Екатеринбург;Семейный отдых;да;Парк чудес Галилео;4,6;1 374
2020-05-06;Свердловская область;Екатеринбург;Семейный отдых;да;Аквапарк Лимпопо;4,5;9 143
