region;city;cat;comerc;object
Свердловская область;Екатеринбург;Музеи;да;Музей истории Екатеринбурга
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный комплекс «Уктус»
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»
Свердловская область;Ревда;Активный отдых;да;Горнолыжный комплекс «Гора Волчиха»
Свердловская область;Бажуково;Природные объекты;да;Парк «Оленьи ручьи»
Свердловская область;Белокаменный;Спа здоровье;да;Санаторий «Белый камень»
Свердловская область;Камышлов;Спа здоровье;да;Санаторий «Обуховский»
Свердловская область;Екатеринбург;Спа здоровье;да;Баден-Баден термы Уктус
Свердловская область;Шабровский;Природные объекты;нет;Карьер Старая линза
Свердловская область;Екатеринбург;Религия;нет;Ново-Тихвинский женский монастырь
Свердловская область;Свердловская область;Природные объекты;нет;Конжаковский Камень
Свердловская область;Свердловская область;Природные объекты;нет;Перевал Дятлова
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»
Свердловская область;Свердловская область;Религия;нет;Ганина Яма
Свердловская область;Екатеринбург;Религия;нет;Храм на крови
Свердловская область;Верхотурье;Религия;нет;Верхотурский Кремль
Свердловская область;Качканар;Религия;нет;Буддийский монастырь Шедруб Линг
Свердловская область;Екатеринбург;Семейный отдых;да;Парк чудес Галилео
Свердловская область;Екатеринбург;Семейный отдых;да;Аквапарк Лимпопо
Свердловская область;Екатеринбург;Музеи;да;Музей Истории Науки И Техники Свердловской Железной Дороги
Свердловская область;Екатеринбург;Музеи;да;Водонапорная башня на Плотинке
Свердловская область;Екатеринбург;Архитектура;нет;Белая башня
Свердловская область;Екатеринбург;Архитектура;нет;Усадьба Расторгуева-Харитонова
Свердловская область;Екатеринбург;Культурный отдых;да;Театр оперы и балета
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр музыкальной комедии
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловская Государственная Филармония
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Волхонка
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильский драматический театр им. Д. Мамина-Сибиряка
Свердловская область;Екатеринбург;Культурный отдых;да;Театр юного зрителя
Свердловская область;Екатеринбург;Культурный отдых;да;Музей-театр Барабанный дом
